"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"X38B.F_S42.Me",52.4141172940009,-12.8442529080587,-12.3656424544684,2.68370579999824,-28.8057123616953,-23.160298114353,25.6485895155978,-32.5502647772127,12.8102516793325,-15.4883436224917,111.393669756875,-284.07496476635,-346.525595311404,-1.94976605257664,-32.1643488969919,27.1514709606639,29.8006731458087,-42.7920943767833,10.2870400456386,-7.75164477503287,9.53204479900511,-12.9414613779432,5.48975082544072,-15.6717268669913,6.97189654832336,23.5016953916324,-27.7397658596875,2.92357394837701,2.16266398928541,-9.97569095459767,-3.42792067268105,-3.69063368687882,1.66374261251902,-0.820405217901748,-0.611161106364439,-0.0932017245381262,0.221614673889408,0.378041164626971,-0.230344278504267,-8.62340851937732e-13
"X40Y.F_S84.Me",-70.4157752640995,-115.52060147092,313.830012327809,-137.042412861631,-74.660944811245,24.5151707445478,80.5817476216412,-29.2643240930895,-56.702632019394,70.3187740803779,-31.4306941150248,13.0375569825139,-8.38254431354319,-2.26771378659414,7.57522547608518,10.0591298006098,10.3651436146144,-2.54920045975478,-0.444919183924817,7.39110348733045,8.9955845759001,-3.78467650000563,10.3339794600302,11.8201671433037,6.84620170875917,-5.02452494425491,-3.69794934651525,-7.6266301482531,1.77493120421792,-1.49657973960174,4.50095230122997,2.04715554141853,-1.75065915821566,1.05982571297216,3.77667257802239,4.76078615141908,3.44458669903561,-170.218339146283,-4.05466078686206,-6.32174949324535e-13
"X40Y.G_S63.Me",-70.1336105076982,-115.912535241839,324.481279509603,-139.664060305472,-73.541774759635,25.6587328668681,76.1985402962284,-27.9364349354521,-59.756810318834,67.8907452935881,-40.0933193698355,14.4746277363648,-10.3938278114231,-1.93670716259348,2.72993865256831,-0.535892714836295,10.5698950292709,-5.81958481872849,-1.97483573074675,6.03948525195534,10.9933871251955,-4.86112179798893,6.95267561678912,12.4272424322754,4.29039839053416,-6.70625198948538,-5.1088568245204,-3.80189469032583,0.809632586554662,-3.37852550720297,-6.44618521628595,-7.38117029909961,0.603263251343693,1.83673236690363,-9.47208560300724,-5.29041512444641,-6.66567990901736,166.332747101381,2.09152260443133,-3.28058015323408e-13
"X45G.F_S32.Me",-166.712457590768,95.0109760662837,5.55392435323299,-54.6414023936671,-32.1212255249583,-83.9975896663883,-240.476159198451,-161.487325761139,-29.9373954192444,-5.72237129697838,57.0778794526415,-13.3251079148791,31.5829728863359,12.4955057357681,-17.3645319915816,-2.34420257431367,4.82576679370778,1.76754172000588,12.6337030214568,4.36233401600432,10.8509610042121,1.76752633586751,2.01481520333141,-0.589655732499294,-2.07017339471905,-6.85284446502039,-4.50796316814156,-9.99891000868408,3.0069029660424,-3.72648587889581,-3.77105229091018,-1.03184275368665,3.86829536204619,-3.96254747724541,-2.84468728550308,-1.35793709760041,1.84748829420937,-3.8484324438762,162.777343365678,-9.14107223075333e-13
"X45G.G_S69.Me",-173.256095584262,97.8515860751212,2.6069457414477,-60.8663543498281,-36.1736978469833,-93.3269855992676,-264.034591862245,-183.076935651236,-33.962777188444,-2.76440021937935,75.2674327227139,-21.2140086809226,43.020537382841,15.1214602025211,-21.0215241554442,0.13651851858676,0.277212187923719,2.20446988845424,12.6256968120311,2.94476509441026,14.5619906325848,0.468584879563815,3.19716600722343,-0.62302266504737,-4.66080009374974,-7.36242359418215,-3.85596305938418,-8.8666173071369,11.2462835030376,6.28796819350418,3.41685825542242,5.22677493122598,-5.26458738647872,5.59043464994963,3.72589150255456,2.13742245071914,-2.49194863041715,3.40888604666988,-147.736347764636,-1.35944848314671e-12
"X47W.F_S82.Me",-120.909566588741,-131.334329967004,-165.026920863644,-266.630500319355,199.374527975496,-32.9528844587507,77.4201867326217,22.3087085291631,29.0549450714212,-15.9196206862283,0.931077831946357,-12.5273969461088,11.4931686108215,0.164702675982488,7.753438288536,17.4903578370417,-20.8283859274857,5.60729055993457,0.836009975614933,1.17594580293817,-4.03142241452478,-10.2335053863646,1.95304583210233,3.03221961360314,0.823358838191717,-3.59995883048093,0.657085287874746,3.4061242507404,-1.27675554149678,7.03877234093069,2.90939560113353,3.49029947161448,-11.7327607381576,26.7969867909442,125.348204429955,127.862561537149,3.13380569283531,7.82583349617329,3.64145165549249,-4.06905818718314e-13
"X47W.G_S80.Me",-114.667195880581,-109.595575686711,-158.349939411244,-236.937044449434,182.557298435886,-28.2661715350856,64.9990625013899,22.1447755139655,29.1118774899223,-19.8209030646626,-10.9998774780349,-8.79942221903622,11.5723400513898,3.26687564701536,-7.2307182698054,13.9276252363638,-19.6542467118045,-2.2851960547962,-13.773974131851,1.80421514595608,-4.31385907913167,-14.1663873408229,1.73585230695952,8.94092671593383,6.44788515725401,-0.690024555863807,0.364119644615474,7.09430389908256,-4.61452736021221,-10.1521817178793,-3.40713759954427,-5.70406894704276,13.146411702204,-24.2224909714777,-140.448948463376,-137.890369448163,-4.76032490579078,-7.21092022589335,-4.25136654414204,6.21540308370222e-13
"X50B.G_S83.Me",85.4371139893142,-38.6331585053569,-48.5931255644497,56.7144299611522,-25.6163844229032,35.0363665470644,60.6093750389355,-80.524513476891,7.36805140348212,-13.5344443077025,55.9276400934433,-51.6449363413455,96.4522600407076,12.3407579274379,79.0583257048961,-42.7055861933771,7.66230960451471,-88.0695361026165,196.313939235309,88.1064087485861,-25.3415941367135,-119.987759018766,87.7202430429899,216.404942176364,78.9845101768643,-55.0366763427251,-61.5436579321854,10.4370280523784,8.71154185980022,2.48329524699165,-6.34008422515401,-2.2211483043373,0.0686739895893212,-0.547925557873736,-1.7829310294114,0.428202125770379,-0.797504380119849,0.881618728678504,0.835521646934495,-2.7544030187373e-12
"X51B.G_S18.Me",56.2867983328476,-13.2477868208364,-41.9644514900725,33.4859123889297,-41.7544542787396,25.3792893861873,53.6847380777392,-56.1729349778542,-0.80045900530534,10.0738676321102,-14.6369766712338,-47.7811816878793,107.957449431367,-64.9695807797005,-67.1649952051064,-20.8442327058398,-2.04375720731978,-107.202882795027,-63.3637142393049,-192.668766454328,178.741336029132,-151.530878385395,-7.29196289474478,-123.802701526281,95.1044738368631,-90.8016633940907,-31.7210533434309,24.9899429474916,-23.8965652578507,-7.84969671389427,-2.21572871631262,-2.51773072462852,3.35186623759465,-0.13140399514172,4.25724582560619,1.42019547767123,-1.53591060963876,-1.12812473923182,1.13872085188088,-1.74607566903393e-12
"X55B.F_S4.Me",227.675547822322,-151.593321604029,-4.65248644933528,-65.7396412945971,23.9827845371833,137.60018056142,-248.625260173293,58.9792748738234,36.6804019621175,46.7099747257513,-47.8786651024206,10.7574533528287,-4.98635174285293,-13.6752104007018,-19.5262497559517,11.1915458114419,8.85218513470751,4.89606731888605,4.34053453775644,-2.3501531178887,0.795037759344194,4.15877923616478,-2.62505427662349,4.91665167947606,-0.529455400819626,15.9205759055003,5.47452741791468,0.392826217846213,5.14475457628893,14.0338007791646,13.1526988361341,2.25433018844484,-51.0295667472572,-182.906651206744,16.0706759089483,11.5122756768023,6.12236255233205,0.945953838408572,-1.49716011606573,-3.7820700076515e-13
